TimeStamp,GFR
2021-08-04 02:00:00,POSITIVE
2021-08-05 02:00:00,POSITIVE
2021-08-06 02:00:00,POSITIVE
2021-08-07 02:00:00,POSITIVE
2021-08-08 02:00:00,POSITIVE
2021-08-09 02:00:00,POSITIVE
2021-08-10 02:00:00,POSITIVE
2021-08-11 02:00:00,POSITIVE
2021-08-12 02:00:00,POSITIVE
2021-08-13 02:00:00,POSITIVE
2021-08-14 02:00:00,POSITIVE
2021-08-15 02:00:00,POSITIVE
2021-08-16 02:00:00,POSITIVE
2021-08-17 02:00:00,POSITIVE
2021-08-18 02:00:00,POSITIVE
2021-08-19 02:00:00,POSITIVE
2021-08-20 02:00:00,POSITIVE
2021-08-21 02:00:00,POSITIVE
2021-08-22 02:00:00,POSITIVE
2021-08-23 02:00:00,POSITIVE
2021-08-24 02:00:00,POSITIVE
2021-08-25 02:00:00,POSITIVE
2021-08-26 02:00:00,POSITIVE
2021-08-27 02:00:00,POSITIVE
2021-08-28 02:00:00,POSITIVE
2021-08-29 02:00:00,POSITIVE
2021-08-30 02:00:00,POSITIVE
2021-08-31 02:00:00,POSITIVE
2021-09-01 02:00:00,POSITIVE
2021-09-02 02:00:00,POSITIVE
2021-09-03 02:00:00,POSITIVE
2021-09-04 02:00:00,POSITIVE
2021-09-05 02:00:00,POSITIVE
2021-09-06 02:00:00,POSITIVE
2021-09-07 02:00:00,POSITIVE
2021-09-08 02:00:00,POSITIVE
2021-09-09 02:00:00,POSITIVE
2021-09-10 02:00:00,POSITIVE
2021-09-11 02:00:00,POSITIVE
2021-09-12 02:00:00,POSITIVE
2021-09-13 02:00:00,POSITIVE
2021-09-14 02:00:00,POSITIVE
2021-09-15 02:00:00,POSITIVE
2021-09-16 02:00:00,POSITIVE
2021-09-17 02:00:00,POSITIVE
2021-09-18 02:00:00,POSITIVE
2021-09-19 02:00:00,POSITIVE
2021-09-20 02:00:00,POSITIVE
2021-09-21 02:00:00,POSITIVE
2021-09-22 02:00:00,POSITIVE
2021-09-23 02:00:00,POSITIVE
2021-09-24 02:00:00,POSITIVE
2021-09-25 02:00:00,POSITIVE
2021-09-26 02:00:00,POSITIVE
2021-09-27 02:00:00,POSITIVE
2021-09-28 02:00:00,POSITIVE
2021-09-29 02:00:00,POSITIVE
2021-09-30 02:00:00,POSITIVE
2021-10-01 02:00:00,POSITIVE
2021-10-02 02:00:00,POSITIVE
2021-10-03 02:00:00,POSITIVE
2021-10-04 02:00:00,POSITIVE
2021-10-05 02:00:00,POSITIVE
2021-10-06 02:00:00,POSITIVE
2021-10-07 02:00:00,POSITIVE
2021-10-08 02:00:00,POSITIVE
2021-10-09 02:00:00,POSITIVE
2021-10-10 02:00:00,POSITIVE
2021-10-11 02:00:00,POSITIVE
2021-10-12 02:00:00,POSITIVE
2021-10-13 02:00:00,POSITIVE
2021-10-14 02:00:00,POSITIVE
2021-10-15 02:00:00,POSITIVE
2021-10-16 02:00:00,POSITIVE
2021-10-17 02:00:00,POSITIVE
2021-10-18 02:00:00,POSITIVE
2021-10-19 02:00:00,POSITIVE
2021-10-20 02:00:00,POSITIVE
2021-10-21 02:00:00,POSITIVE
2021-10-22 02:00:00,POSITIVE
2021-10-23 02:00:00,POSITIVE
2021-10-24 02:00:00,POSITIVE
2021-10-25 02:00:00,POSITIVE
2021-10-26 02:00:00,POSITIVE
2021-10-27 02:00:00,POSITIVE
2021-10-28 02:00:00,POSITIVE
2021-10-29 02:00:00,POSITIVE
2021-10-30 02:00:00,POSITIVE
2021-10-31 02:00:00,POSITIVE
2021-11-01 01:00:00,POSITIVE
2021-11-02 01:00:00,POSITIVE
2021-11-03 01:00:00,POSITIVE
2021-11-04 01:00:00,POSITIVE
2021-11-05 01:00:00,POSITIVE
2021-11-06 01:00:00,POSITIVE
2021-11-07 01:00:00,POSITIVE
2021-11-08 01:00:00,POSITIVE
2021-11-09 01:00:00,POSITIVE
2021-11-10 01:00:00,POSITIVE
2021-11-11 01:00:00,POSITIVE
2021-11-12 01:00:00,POSITIVE
2021-11-13 01:00:00,POSITIVE
2021-11-14 01:00:00,POSITIVE
2021-11-15 01:00:00,POSITIVE
2021-11-16 01:00:00,POSITIVE
2021-11-17 01:00:00,POSITIVE
2021-11-18 01:00:00,POSITIVE
2021-11-19 01:00:00,POSITIVE
2021-11-20 01:00:00,POSITIVE
2021-11-21 01:00:00,POSITIVE
2021-11-22 01:00:00,POSITIVE
2021-11-23 01:00:00,POSITIVE
2021-11-24 01:00:00,POSITIVE
2021-11-25 01:00:00,POSITIVE
2021-11-26 01:00:00,POSITIVE
2021-11-27 01:00:00,POSITIVE
2021-11-28 01:00:00,POSITIVE
2021-11-29 01:00:00,POSITIVE
2021-11-30 01:00:00,POSITIVE
2021-12-01 01:00:00,POSITIVE
2021-12-02 01:00:00,POSITIVE
2021-12-03 01:00:00,POSITIVE
2021-12-04 01:00:00,POSITIVE
2021-12-05 01:00:00,POSITIVE
2021-12-06 01:00:00,POSITIVE
2021-12-07 01:00:00,POSITIVE
2021-12-08 01:00:00,POSITIVE
2021-12-09 01:00:00,POSITIVE
2021-12-10 01:00:00,POSITIVE
2021-12-11 01:00:00,POSITIVE
2021-12-12 01:00:00,POSITIVE
2021-12-13 01:00:00,POSITIVE
2021-12-14 01:00:00,POSITIVE
2021-12-15 01:00:00,POSITIVE
2021-12-16 01:00:00,POSITIVE
2021-12-17 01:00:00,POSITIVE
2021-12-18 01:00:00,POSITIVE
2021-12-19 01:00:00,POSITIVE
2021-12-20 01:00:00,POSITIVE
2021-12-21 01:00:00,POSITIVE
2021-12-22 01:00:00,POSITIVE
2021-12-23 01:00:00,POSITIVE
2021-12-24 01:00:00,POSITIVE
2021-12-25 01:00:00,POSITIVE
2021-12-26 01:00:00,POSITIVE
2021-12-27 01:00:00,POSITIVE
2021-12-28 01:00:00,POSITIVE
2021-12-29 01:00:00,POSITIVE
2021-12-30 01:00:00,POSITIVE
2021-12-31 01:00:00,POSITIVE
2022-01-01 01:00:00,POSITIVE
2022-01-02 01:00:00,POSITIVE
2022-01-03 01:00:00,POSITIVE
2022-01-04 01:00:00,POSITIVE
2022-01-05 01:00:00,POSITIVE
2022-01-06 01:00:00,POSITIVE
2022-01-07 01:00:00,POSITIVE
2022-01-08 01:00:00,POSITIVE
2022-01-09 01:00:00,POSITIVE
2022-01-10 01:00:00,POSITIVE
2022-01-11 01:00:00,POSITIVE
2022-01-12 01:00:00,POSITIVE
2022-01-13 01:00:00,POSITIVE
2022-01-14 01:00:00,POSITIVE
2022-01-15 01:00:00,POSITIVE
2022-01-16 01:00:00,POSITIVE
2022-01-17 01:00:00,POSITIVE
2022-01-18 01:00:00,POSITIVE
2022-01-19 01:00:00,POSITIVE
